Player Number,Age,Gender,Group' ,Group size,Frequentie bordspellen,Belangrijk om te winnen,Hoe ingewikkeld,Vaak moeilijk zet bedenken,Hoe spannend,Hoe moeilijk manier bedenken te winnen,Hoe leuk,Vrije tijd,Score round1,Score round2,Score round3,,,
1,10,m,7,2,3,1,0,1,3,1,4,4,13,0,9,,,
2,10,f,7,2,2,2,1,3,3,3,4,4,0,27,9,,,
3,9,f,7,3,2,,1,1,4,1,4,4,0,,,,,
4,10,f,7,3,3,2,2,2,4,3,4,4,0,,,,,
5,10,m,7,3,1,2,2,2,2,2,4,2,5,,,,,
6,10,m,7,2,2,2,1,1,2,2,4,3,2,11,4,,,
7,10,f,7,2,3,1,0,2,2,2,4,3,0,0,0,,,
8,10,m,7,3,2,2,1,1,3,3,4,4,17,0,,,,
9,10,f,7,3,2,1,1,1,2,3,4,4,0,0,,,,
10,10,f,7,3,2,2,1,2,2,2,4,4,0,26,,,,
11,10,m,7,3,2,2,0,1,1,2,4,4,9,0,,,,
12,10,f,7,3,3,1,0,2,2,2,4,2,0,18,,,,
13,11,f,7,3,3,3,1,1,0,2,2,2,0,0,,,,
14,10,f,7,3,2,1,1,1,2,2,3,2,21,,,,,
15,10,m,7,3,3,2,1,2,4,3,4,4,0,,,,,
16,10,f,7,3,2,3,3,2,3,3,4,4,0,,,,,
1,9,m,6,2,3,2,2,4,3,2,1,0,0,0,0,,,
2,9,m,6,2,3,1,2,3,3,4,4,4,9,11,3,,,
3,9,m,6,2,2,2,0,0,2,2,4,3,3,0,0,,,
4,9,m,6,2,2,1,2,1,3,2,4,4,0,3,4,,,
5,9,f,6,3,2,1,1,1,2,1,4,4,0,22,0,,,
6,9,f,6,3,3,2,2,1,2,3,4,4,0,0,6,,,
7,9,f,6,3,3,1,2,0,3,2,4,4,0,2,0,,,
8,9,f,6,2,2,2,1,3,2,3,4,4,8,9,0,6,0,7
9,9,f,6,2,2,2,1,1,4,2,4,4,0,0,2,0,4,7
10,9,f,6,2,3,2,2,1,1,3,4,3,7,7,9,0,,
11,9,m,6,2,3,2,1,0,4,2,3,3,32,0,15,7,,
12,10,f,6,2,3,1,1,0,4,2,1,2,0,0,0,0,,
13,8,f,6,2,3,1,1,0,3,2,4,4,0,22,0,42,,
1,11,m,8,3,2,2,0,2,4,0,4,4,10,0,,,,
2,,m,8,3,1,3,1,2,0,2,4,3,0,0,,,,
3,11,m,8,3,2,1,2,1,2,2,4,4,0,30,,,,
4,11,f,8,3,2,2,2,1,3,1,4,4,0,15,,,,
5,11,m,8,3,1,1,2,2,3,3,4,3,0,0,,,,
6,11,m,8,3,1,2,1,2,4,2,4,3,19,0,,,,
5,11,f,8,2,3,1,0,2,4,2,4,4,0,0,40,,,
4,12,f,8,2,1,1,3,2,2,1,4,3,6,4,0,,,
3,11,m,8,3,1,1,2,4,2,3,4,4,0,0,0,,,
2,12,m,8,3,1,2,3,2,2,3,4,4,0,0,10,,,
1,11,m,8,3,2,1,3,1,2,3,4,4,10,0,0,,,
7,11,m,8,2,1,3,0,0,4,2,4,4,10,0,13,,,
8,11,m,8,2,1,3,0,1,4,0,4,4,0,12,0,,,
6,11,f,8,2,3,2,2,1,1,2,3,2,0,13,15,28,13,
7,11,f,8,2,2,2,2,3,3,2,4,2,8,0,0,0,,
